pop_ind,+[MMarrived],-[HHaccidents],-[MMteleported 1 *],actual_ind,pareto,dominated_0,dominating_0
0,0.496434821561,0.00124533001245,0.0209986054639,2,0,42/50,0/50
1,0.687983744871,0.00250312891114,0.00604480725265,125,0,0/50,0/50
2,0.597375426872,0.00125313283208,0.0110687029598,127,0,0/50,7/50
3,0.442711086449,0.00093370681606,0.0258618196395,189,0,34/50,0/50
4,0.590241883763,0.00155279503106,0.00927018271459,217,0,0/50,3/50
5,0.453416240112,0.000935453695042,0.0245952807849,253,0,34/50,0/50
6,0.608612365696,0.00156494522692,0.00827024664456,261,0,0/50,4/50
7,0.541360749204,0.00125,0.0155988923128,293,0,19/50,1/50
8,0.468468845025,0.00125313283208,0.0207836494155,33,0,42/50,0/50
9,0.516473428446,0.00126342387871,0.0177096511549,37,1,38/50,0/50
10,0.554221831205,0.00127307447486,0.0150743033553,93,1,16/50,2/50
11,0.471584692723,0.0012539184953,0.0220112643901,30,1,43/50,0/50
12,0.447383611434,0.001246105919,0.02611164975,46,1,42/50,0/50
13,0.591452205666,0.00157604412924,0.0120438710562,123,1,1/50,3/50
14,0.57148319992,0.00153374233129,0.0116959592537,135,1,0/50,3/50
15,0.50248599767,0.00126103404792,0.0154177049737,157,1,18/50,0/50
16,0.575904871027,0.00311041990669,0.0107318037877,183,1,0/50,0/50
17,0.604200003808,0.00318217979316,0.0105419510507,199,1,0/50,0/50
18,0.555108389586,0.00251572327044,0.00978997133733,225,1,0/50,0/50
19,0.569408101979,0.00186219739292,0.0106689308582,251,2,0/50,1/50
20,0.600356360451,0.00247678018576,0.0132141574429,289,2,1/50,0/50
21,0.577882330847,0.0028024287716,0.0119679322417,295,2,2/50,0/50
22,0.592787508255,0.00250626566416,0.0132581796243,161,2,3/50,0/50
23,0.568563855172,0.00188323917137,0.0110249889685,235,2,0/50,0/50
24,0.582766501164,0.00186828584773,0.0140195895976,16,2,5/50,1/50
25,0.569468012787,0.0018788163457,0.0132242979094,42,2,5/50,0/50
26,0.533469253825,0.0015600624025,0.0129601735911,113,2,4/50,0/50
27,0.545705330917,0.001554001554,0.0170919340624,48,2,32/50,1/50
28,0.495819302921,0.00127713920817,0.0189763137017,23,2,43/50,0/50
29,0.481194679779,0.00153256704981,0.0173834095896,95,2,37/50,0/50
30,0.446831266982,0.00125470514429,0.0256257700342,71,2,43/50,0/50
31,0.497794677767,0.00154202004626,0.0209860919993,119,2,46/50,0/50
32,0.538547902771,0.00155763239875,0.0156463329256,121,2,20/50,1/50
33,0.579522022411,0.00250156347717,0.0129332702772,163,2,4/50,0/50
34,0.528226439112,0.00157356412274,0.0125546797371,191,2,3/50,0/50
35,0.555953796346,0.0015600624025,0.0158979998485,239,2,23/50,2/50
36,0.560636196256,0.00156494522692,0.013955373508,241,3,8/50,3/50
37,0.463744132395,0.00126502213789,0.0206331935558,245,3,46/50,0/50
38,0.567324465636,0.00159108989658,0.015140325095,287,3,15/50,3/50
39,0.460388928722,0.00127226463104,0.0221247494363,133,3,46/50,0/50
40,0.570880636976,0.00466562986003,0.0148473679528,41,3,11/50,0/50
41,0.458863242439,0.00155763239875,0.0209333434165,257,3,46/50,0/50
42,0.564141960409,0.00315706393054,0.01159719722,263,3,0/50,0/50
43,0.481306479764,0.0015503875969,0.0210000028176,4,3,46/50,0/50
44,0.519355147498,0.0015600624025,0.0174038592258,149,3,37/50,0/50
45,0.530589319601,0.0015625,0.0170758093988,203,3,32/50,0/50
46,0.558842983104,0.00189214758751,0.0131952566989,247,3,5/50,0/50
47,0.544772052484,0.00189573459716,0.0128249892173,141,3,3/50,0/50
48,0.539601361884,0.00157480314961,0.0158287708705,255,3,24/50,1/50
49,0.566722262995,0.00249532127261,0.0143926915972,10,3,10/50,0/50
