pop_ind,+[MMarrived],-[HHaccidents 20 *],-[MMteleported],actual_ind,pareto,dominated_0,dominating_0
0,0.549962839552,0.0189573459716,0.0120684498651,255,0,1/50,5/50
1,0.712397568335,0.0377536573856,0.00552310075636,469,0,0/50,0/50
2,0.630872594819,0.0250469630557,0.00907969031023,567,0,0/50,8/50
3,0.55924210968,0.018630647415,0.0124653834591,653,0,2/50,9/50
4,0.646586960954,0.0313234142522,0.00667248594891,751,0,0/50,4/50
5,0.567031773602,0.0247218788628,0.013695398212,761,0,6/50,7/50
6,0.649413403946,0.0317208564631,0.00965108153908,807,0,0/50,4/50
7,0.629176939116,0.0249221183801,0.00971665418035,897,0,0/50,8/50
8,0.647937044558,0.037296037296,0.00872992559682,945,0,0/50,2/50
9,0.56106863845,0.0,0.0127744369594,969,0,2/50,28/50
10,0.610764936896,0.0248138957816,0.00776154845814,977,0,0/50,9/50
11,0.552762586212,0.0247371675943,0.0112043466047,1051,0,0/50,6/50
12,0.639691543619,0.025332488917,0.00802990607581,1061,0,0/50,4/50
13,0.716089339101,0.0373308446104,0.00631467545979,1115,0,0/50,2/50
14,0.622203871211,0.0249066002491,0.00956214389146,1133,0,0/50,9/50
15,0.576947302978,0.0249376558603,0.0143486411671,257,1,7/50,6/50
16,0.63143001977,0.0314465408805,0.00796251870265,395,1,0/50,4/50
17,0.64123666361,0.0313971742543,0.0092120091418,673,1,0/50,4/50
18,0.548706282598,0.0188146754468,0.0155503842938,285,1,16/50,5/50
19,0.633267537553,0.0501567398119,0.0075822278864,515,1,0/50,0/50
20,0.600964756624,0.0251256281407,0.0106590851697,645,1,0/50,6/50
21,0.602816167321,0.0252365930599,0.0102423785319,771,1,0/50,4/50
22,0.617354266419,0.031007751938,0.0102408374487,793,1,0/50,4/50
23,0.552424556142,0.0249221183801,0.0145195871007,799,1,10/50,5/50
24,0.612606849734,0.0253807106599,0.00981035084146,873,1,0/50,4/50
25,0.499977262525,0.018691588785,0.01994558583,915,1,32/50,0/50
26,0.62329621027,0.0315706393054,0.00787387159365,1007,1,0/50,4/50
27,0.566450849942,0.0250469630557,0.0101930659968,1013,1,0/50,6/50
28,0.626946273286,0.0377002827521,0.0067529278834,1085,1,0/50,0/50
29,0.627384011365,0.0312012480499,0.00830386390314,1103,1,0/50,4/50
30,0.619306612867,0.0251889168766,0.0102696316452,1109,1,0/50,5/50
31,0.620432674371,0.0625488663018,0.00586336383897,1121,1,0/50,0/50
32,0.60054090505,0.0307692307692,0.0080638411933,1149,1,0/50,4/50
33,0.549790128357,0.0189843379212,0.0127832952713,1175,1,2/50,5/50
34,0.61793521743,0.0632911392405,0.00738491994183,893,1,0/50,0/50
35,0.462358727344,0.018691588785,0.0225593208665,437,1,34/50,0/50
36,0.440187088451,0.0187969924812,0.0221589145531,611,2,35/50,0/50
37,0.640883264126,0.0315457413249,0.00975164329186,919,2,0/50,4/50
38,0.546174313405,0.0248138957816,0.013702903372,687,2,6/50,2/50
39,0.488570331716,0.0247218788628,0.0170658155105,401,2,29/50,0/50
40,0.629306464556,0.0504413619168,0.00821545631185,827,2,0/50,0/50
41,0.481474833798,0.0189125295508,0.0180546818797,549,2,32/50,0/50
42,0.621547278496,0.0373308446104,0.00825422018044,1069,2,0/50,2/50
43,0.599014415572,0.03125,0.011190559803,929,2,0/50,4/50
44,0.571118496003,0.0253004427577,0.0108804730933,737,2,0/50,3/50
45,0.563855350366,0.0250469630557,0.012175734636,795,2,1/50,6/50
46,0.630878240966,0.0618238021638,0.00894792016639,853,2,0/50,0/50
47,0.586264722544,0.0310318076028,0.00913428116631,1171,2,0/50,3/50
48,0.46483821383,0.0188501413761,0.0198741588898,1131,2,34/50,0/50
49,0.589257650197,0.0251730648206,0.0145064746719,491,2,3/50,4/50
