pop_ind,+[MMarrived 1 *],-[HHaccidents],-[MMteleported],actual_ind,pareto,dominated_0,dominating_0
0,0.897998895214,0.0,0.00199277746674,917,0,20/50,21/50
1,0.900566736262,0.00325467860049,0.00139346034949,945,0,18/50,0/50
2,0.93007858257,0.00533333333333,0.000213262249331,1071,0,7/50,0/50
3,0.874695772097,0.0027027027027,0.00152303520364,1167,0,18/50,1/50
4,0.88587836273,0.00163132137031,0.00161626775457,1219,0,18/50,2/50
5,0.878577927151,0.0,0.00162440163299,1285,1,18/50,15/50
6,0.868301890282,0.00269905533063,0.00195512795488,941,1,20/50,1/50
7,0.878495404987,0.00159872102318,0.00261823690612,1139,1,21/50,3/50
8,0.874007550892,0.0,0.00234854406628,1199,1,21/50,14/50
9,0.85506132473,0.0,0.00214022078776,1211,1,20/50,10/50
10,0.862723081622,0.00215982721382,0.00176688734077,1255,2,19/50,1/50
11,0.861928171824,0.0,0.00426853328804,1165,2,27/50,11/50
12,0.852332829736,0.00164473684211,0.00242997987727,1171,2,21/50,1/50
13,0.848453101658,0.0,0.00259802664093,1183,2,21/50,10/50
14,0.868696973928,0.00269905533063,0.00365764526361,915,2,24/50,1/50
15,0.857421664282,0.0021436227224,0.003309499316,1173,2,23/50,1/50
16,0.857120182534,0.00159108989658,0.00270339849205,1297,2,21/50,2/50
17,0.848566640034,0.00161943319838,0.00398530412353,947,2,26/50,2/50
18,0.852438513236,0.00325467860049,0.0027284569921,1029,2,21/50,0/50
19,0.845080661698,0.0,0.00307241865574,645,2,21/50,9/50
20,0.82795212127,0.00274725274725,0.00256531953366,1283,3,21/50,1/50
21,0.856743302971,0.00209863588667,0.00332277304821,1295,3,23/50,1/50
22,0.823399550832,0.00291120815138,0.00275808202475,927,3,21/50,1/50
23,0.848323782377,0.00269541778976,0.00444901957025,741,3,28/50,1/50
24,0.848788440967,0.00325732899023,0.00286794792276,1079,3,21/50,0/50
25,0.850154859884,0.00289855072464,0.00459802760707,1125,4,29/50,1/50
26,0.847110051657,0.00168634064081,0.00528762921362,1153,4,32/50,1/50
27,0.799626274602,0.0,0.00374548194451,565,4,24/50,1/50
28,0.844136710899,0.00212539851222,0.00340962182863,573,4,24/50,1/50
29,0.800723066451,0.0016,0.00344843587688,755,4,24/50,0/50
30,0.839424830783,0.00153139356815,0.00456860178419,783,4,29/50,3/50
31,0.813825009299,0.0,0.00408313708828,843,4,26/50,3/50
32,0.83796623607,0.00215982721382,0.00337675532788,921,4,24/50,1/50
33,0.831044299865,0.00158478605388,0.00365499805594,939,4,24/50,2/50
34,0.819327783106,0.00276625172891,0.00328699631239,1095,4,23/50,1/50
35,0.838133850164,0.00160642570281,0.00404162721313,1097,4,26/50,2/50
36,0.844282024723,0.00307455803228,0.00354782185465,1121,4,24/50,1/50
37,0.841914738434,0.00164203612479,0.00466999544229,815,4,29/50,1/50
38,0.845022796854,0.00215749730313,0.00437632321896,1061,4,27/50,1/50
39,0.843938077939,0.00269905533063,0.00338135572932,1225,4,24/50,1/50
40,0.844166524859,0.00272851296044,0.0041371544205,1241,4,26/50,1/50
41,0.792556124559,0.0,0.00410520365359,629,4,26/50,1/50
42,0.816089802375,0.00163132137031,0.00660642335127,791,4,37/50,0/50
43,0.810822298387,0.0,0.00484679078159,1031,4,30/50,2/50
44,0.842192221271,0.00334448160535,0.00389596717384,989,4,25/50,0/50
45,0.835202215966,0.00320769847634,0.00339303788396,1279,5,24/50,0/50
46,0.797877612328,0.0,0.00466648147189,911,5,29/50,1/50
47,0.829027919685,0.00216919739696,0.00395824190796,719,5,25/50,1/50
48,0.836800896924,0.00291120815138,0.00364912001368,1175,5,24/50,1/50
49,0.841576012569,0.00165975103734,0.00567263290972,999,5,34/50,1/50
